galaxy,review_field,acquisition_priority,required_source_families,source_urls_or_catalogs,source_task,promotion_use,current_field_status,source_acquisition_status,accepted_label_output_allowed,endpoint_scores_allowed,endpoint_scores_computed,claim_boundary
NGC0100,residual_blind_family_recommendation,P0_REQUIRED,S4G;NED_NEDD;DustPedia;HI_SURVEYS;PHANGS,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://ned.ipac.caltech.edu/; https://arxiv.org/abs/1708.05335; THINGS; LITTLE_THINGS; WALLABY; HALOGAS; https://www.phangs.org/home/data,make a residual-blind family recommendation only after source evidence is logged,candidate label for independent accepted-manifest audit,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC0100,review_sources_used,P0_REQUIRED,S4G;NED_NEDD;DustPedia;HI_SURVEYS;PHANGS,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://ned.ipac.caltech.edu/; https://arxiv.org/abs/1708.05335; THINGS; LITTLE_THINGS; WALLABY; HALOGAS; https://www.phangs.org/home/data,"record exact source list, access path, and notes",mandatory provenance field,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC0100,review_notes,P0_SUPPORTING,S4G;NED_NEDD;DustPedia;HI_SURVEYS;PHANGS,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://ned.ipac.caltech.edu/; https://arxiv.org/abs/1708.05335; THINGS; LITTLE_THINGS; WALLABY; HALOGAS; https://www.phangs.org/home/data,record residual-blind caveats and unresolved data gaps,audit notes; cannot override missing required evidence,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC0247,present_day_morphology_label,P0_REQUIRED,S4G;NED_NEDD;DustPedia,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://ned.ipac.caltech.edu/; https://arxiv.org/abs/1708.05335,record residual-blind catalog/image morphology support and provenance,candidate accepted family-label evidence after independent audit,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC0247,outer_disk_lsb_tail_evidence,P0_REQUIRED,S4G;DustPedia;HI_SURVEYS,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://arxiv.org/abs/1708.05335; THINGS; LITTLE_THINGS; WALLABY; HALOGAS,"check outer-disk, low-surface-brightness, truncation, tail, and gas-extent support",scale-tail versus exponential/compact family caveat evidence,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC0247,hi_extent_or_asymmetry_evidence,P0_REQUIRED,HI_SURVEYS;NED_NEDD,THINGS; LITTLE_THINGS; WALLABY; HALOGAS; https://ned.ipac.caltech.edu/,look for THINGS/LITTLE_THINGS/WALLABY/HALOGAS availability and record gas extent or asymmetry evidence,"history/memory, lopsidedness, warp, and outer-disk support",TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC0247,bar_m2_evidence,P0_REQUIRED_NONAXISYMMETRIC_CHECK,S4G;PHANGS,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://www.phangs.org/home/data,"record bar component, m=2 morphology, and velocity-field support where available","optional barred-spiral branch support, especially for NGC0247",TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC0247,edge_projection_caveat,P0_SUPPORTING,NED_NEDD;S4G;DustPedia,https://ned.ipac.caltech.edu/; https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://arxiv.org/abs/1708.05335,"record inclination, distance/projection caveats, and edge-on decomposition support",projection caveat and possible thick/flared or memory/history review flag,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC0247,vertical_flare_warp_evidence,P0_SUPPORTING,S4G;DustPedia;HI_SURVEYS,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://arxiv.org/abs/1708.05335; THINGS; LITTLE_THINGS; WALLABY; HALOGAS,"look for edge/thick disk, flare, warp, or extended gas-plane evidence",thick/flared or projection-sensitive family support,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC0247,compact_bulge_evidence,P0_SUPPORTING,S4G;DustPedia;NED_NEDD,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://arxiv.org/abs/1708.05335; https://ned.ipac.caltech.edu/,record bulge/compact support and central concentration provenance,compact finite-source branch caveat/support,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC0247,ring_resonance_evidence,P0_REQUIRED_NONAXISYMMETRIC_CHECK,S4G;PHANGS;DustPedia,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://www.phangs.org/home/data; https://arxiv.org/abs/1708.05335,"record ring, resonance, or spiral-structure evidence without using residual peaks",optional ring/resonance branch support,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC0247,morphological_memory_history_proxy_judgment,P0_SUPPORTING,S4G;DustPedia;HI_SURVEYS;PHANGS,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://arxiv.org/abs/1708.05335; THINGS; LITTLE_THINGS; WALLABY; HALOGAS; https://www.phangs.org/home/data,"combine residual-blind current morphology, gas asymmetry, warp/tail, and velocity-field evidence",history/memory proxy only; not a recovered historical morphology,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC0247,review_confidence,P0_REQUIRED,S4G;NED_NEDD;DustPedia;HI_SURVEYS;PHANGS,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://ned.ipac.caltech.edu/; https://arxiv.org/abs/1708.05335; THINGS; LITTLE_THINGS; WALLABY; HALOGAS; https://www.phangs.org/home/data,"score source agreement, source coverage, and caveat severity before endpoint scoring",confidence gate input for later accepted-manifest audit,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC0247,residual_blind_family_recommendation,P0_REQUIRED,S4G;NED_NEDD;DustPedia;HI_SURVEYS;PHANGS,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://ned.ipac.caltech.edu/; https://arxiv.org/abs/1708.05335; THINGS; LITTLE_THINGS; WALLABY; HALOGAS; https://www.phangs.org/home/data,make a residual-blind family recommendation only after source evidence is logged,candidate label for independent accepted-manifest audit,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC0247,review_sources_used,P0_REQUIRED,S4G;NED_NEDD;DustPedia;HI_SURVEYS;PHANGS,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://ned.ipac.caltech.edu/; https://arxiv.org/abs/1708.05335; THINGS; LITTLE_THINGS; WALLABY; HALOGAS; https://www.phangs.org/home/data,"record exact source list, access path, and notes",mandatory provenance field,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC0247,review_notes,P0_SUPPORTING,S4G;NED_NEDD;DustPedia;HI_SURVEYS;PHANGS,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://ned.ipac.caltech.edu/; https://arxiv.org/abs/1708.05335; THINGS; LITTLE_THINGS; WALLABY; HALOGAS; https://www.phangs.org/home/data,record residual-blind caveats and unresolved data gaps,audit notes; cannot override missing required evidence,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC0300,present_day_morphology_label,P0_REQUIRED,S4G;NED_NEDD;DustPedia,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://ned.ipac.caltech.edu/; https://arxiv.org/abs/1708.05335,record residual-blind catalog/image morphology support and provenance,candidate accepted family-label evidence after independent audit,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC0300,outer_disk_lsb_tail_evidence,P0_REQUIRED,S4G;DustPedia;HI_SURVEYS,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://arxiv.org/abs/1708.05335; THINGS; LITTLE_THINGS; WALLABY; HALOGAS,"check outer-disk, low-surface-brightness, truncation, tail, and gas-extent support",scale-tail versus exponential/compact family caveat evidence,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC0300,hi_extent_or_asymmetry_evidence,P0_REQUIRED,HI_SURVEYS;NED_NEDD,THINGS; LITTLE_THINGS; WALLABY; HALOGAS; https://ned.ipac.caltech.edu/,look for THINGS/LITTLE_THINGS/WALLABY/HALOGAS availability and record gas extent or asymmetry evidence,"history/memory, lopsidedness, warp, and outer-disk support",TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC0300,bar_m2_evidence,P0_SUPPORTING,S4G;PHANGS,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://www.phangs.org/home/data,"record bar component, m=2 morphology, and velocity-field support where available","optional barred-spiral branch support, especially for NGC0247",TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC0300,edge_projection_caveat,P0_SUPPORTING,NED_NEDD;S4G;DustPedia,https://ned.ipac.caltech.edu/; https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://arxiv.org/abs/1708.05335,"record inclination, distance/projection caveats, and edge-on decomposition support",projection caveat and possible thick/flared or memory/history review flag,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC0300,vertical_flare_warp_evidence,P0_SUPPORTING,S4G;DustPedia;HI_SURVEYS,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://arxiv.org/abs/1708.05335; THINGS; LITTLE_THINGS; WALLABY; HALOGAS,"look for edge/thick disk, flare, warp, or extended gas-plane evidence",thick/flared or projection-sensitive family support,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC0300,compact_bulge_evidence,P0_SUPPORTING,S4G;DustPedia;NED_NEDD,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://arxiv.org/abs/1708.05335; https://ned.ipac.caltech.edu/,record bulge/compact support and central concentration provenance,compact finite-source branch caveat/support,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC0300,ring_resonance_evidence,P0_SUPPORTING,S4G;PHANGS;DustPedia,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://www.phangs.org/home/data; https://arxiv.org/abs/1708.05335,"record ring, resonance, or spiral-structure evidence without using residual peaks",optional ring/resonance branch support,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC0300,morphological_memory_history_proxy_judgment,P0_SUPPORTING,S4G;DustPedia;HI_SURVEYS;PHANGS,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://arxiv.org/abs/1708.05335; THINGS; LITTLE_THINGS; WALLABY; HALOGAS; https://www.phangs.org/home/data,"combine residual-blind current morphology, gas asymmetry, warp/tail, and velocity-field evidence",history/memory proxy only; not a recovered historical morphology,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC0300,review_confidence,P0_REQUIRED,S4G;NED_NEDD;DustPedia;HI_SURVEYS;PHANGS,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://ned.ipac.caltech.edu/; https://arxiv.org/abs/1708.05335; THINGS; LITTLE_THINGS; WALLABY; HALOGAS; https://www.phangs.org/home/data,"score source agreement, source coverage, and caveat severity before endpoint scoring",confidence gate input for later accepted-manifest audit,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC0300,residual_blind_family_recommendation,P0_REQUIRED,S4G;NED_NEDD;DustPedia;HI_SURVEYS;PHANGS,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://ned.ipac.caltech.edu/; https://arxiv.org/abs/1708.05335; THINGS; LITTLE_THINGS; WALLABY; HALOGAS; https://www.phangs.org/home/data,make a residual-blind family recommendation only after source evidence is logged,candidate label for independent accepted-manifest audit,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC0300,review_sources_used,P0_REQUIRED,S4G;NED_NEDD;DustPedia;HI_SURVEYS;PHANGS,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://ned.ipac.caltech.edu/; https://arxiv.org/abs/1708.05335; THINGS; LITTLE_THINGS; WALLABY; HALOGAS; https://www.phangs.org/home/data,"record exact source list, access path, and notes",mandatory provenance field,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC0300,review_notes,P0_SUPPORTING,S4G;NED_NEDD;DustPedia;HI_SURVEYS;PHANGS,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://ned.ipac.caltech.edu/; https://arxiv.org/abs/1708.05335; THINGS; LITTLE_THINGS; WALLABY; HALOGAS; https://www.phangs.org/home/data,record residual-blind caveats and unresolved data gaps,audit notes; cannot override missing required evidence,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC6503,present_day_morphology_label,P0_REQUIRED,S4G;NED_NEDD;DustPedia,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://ned.ipac.caltech.edu/; https://arxiv.org/abs/1708.05335,record residual-blind catalog/image morphology support and provenance,candidate accepted family-label evidence after independent audit,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC6503,outer_disk_lsb_tail_evidence,P0_REQUIRED,S4G;DustPedia;HI_SURVEYS,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://arxiv.org/abs/1708.05335; THINGS; LITTLE_THINGS; WALLABY; HALOGAS,"check outer-disk, low-surface-brightness, truncation, tail, and gas-extent support",scale-tail versus exponential/compact family caveat evidence,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC6503,hi_extent_or_asymmetry_evidence,P0_REQUIRED,HI_SURVEYS;NED_NEDD,THINGS; LITTLE_THINGS; WALLABY; HALOGAS; https://ned.ipac.caltech.edu/,look for THINGS/LITTLE_THINGS/WALLABY/HALOGAS availability and record gas extent or asymmetry evidence,"history/memory, lopsidedness, warp, and outer-disk support",TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC6503,bar_m2_evidence,P0_SUPPORTING,S4G;PHANGS,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://www.phangs.org/home/data,"record bar component, m=2 morphology, and velocity-field support where available","optional barred-spiral branch support, especially for NGC0247",TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC6503,edge_projection_caveat,P0_SUPPORTING,NED_NEDD;S4G;DustPedia,https://ned.ipac.caltech.edu/; https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://arxiv.org/abs/1708.05335,"record inclination, distance/projection caveats, and edge-on decomposition support",projection caveat and possible thick/flared or memory/history review flag,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC6503,vertical_flare_warp_evidence,P0_SUPPORTING,S4G;DustPedia;HI_SURVEYS,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://arxiv.org/abs/1708.05335; THINGS; LITTLE_THINGS; WALLABY; HALOGAS,"look for edge/thick disk, flare, warp, or extended gas-plane evidence",thick/flared or projection-sensitive family support,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC6503,compact_bulge_evidence,P0_SUPPORTING,S4G;DustPedia;NED_NEDD,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://arxiv.org/abs/1708.05335; https://ned.ipac.caltech.edu/,record bulge/compact support and central concentration provenance,compact finite-source branch caveat/support,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC6503,ring_resonance_evidence,P0_SUPPORTING,S4G;PHANGS;DustPedia,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://www.phangs.org/home/data; https://arxiv.org/abs/1708.05335,"record ring, resonance, or spiral-structure evidence without using residual peaks",optional ring/resonance branch support,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC6503,morphological_memory_history_proxy_judgment,P0_SUPPORTING,S4G;DustPedia;HI_SURVEYS;PHANGS,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://arxiv.org/abs/1708.05335; THINGS; LITTLE_THINGS; WALLABY; HALOGAS; https://www.phangs.org/home/data,"combine residual-blind current morphology, gas asymmetry, warp/tail, and velocity-field evidence",history/memory proxy only; not a recovered historical morphology,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC6503,review_confidence,P0_REQUIRED,S4G;NED_NEDD;DustPedia;HI_SURVEYS;PHANGS,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://ned.ipac.caltech.edu/; https://arxiv.org/abs/1708.05335; THINGS; LITTLE_THINGS; WALLABY; HALOGAS; https://www.phangs.org/home/data,"score source agreement, source coverage, and caveat severity before endpoint scoring",confidence gate input for later accepted-manifest audit,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC6503,residual_blind_family_recommendation,P0_REQUIRED,S4G;NED_NEDD;DustPedia;HI_SURVEYS;PHANGS,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://ned.ipac.caltech.edu/; https://arxiv.org/abs/1708.05335; THINGS; LITTLE_THINGS; WALLABY; HALOGAS; https://www.phangs.org/home/data,make a residual-blind family recommendation only after source evidence is logged,candidate label for independent accepted-manifest audit,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC6503,review_sources_used,P0_REQUIRED,S4G;NED_NEDD;DustPedia;HI_SURVEYS;PHANGS,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://ned.ipac.caltech.edu/; https://arxiv.org/abs/1708.05335; THINGS; LITTLE_THINGS; WALLABY; HALOGAS; https://www.phangs.org/home/data,"record exact source list, access path, and notes",mandatory provenance field,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
NGC6503,review_notes,P0_SUPPORTING,S4G;NED_NEDD;DustPedia;HI_SURVEYS;PHANGS,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://ned.ipac.caltech.edu/; https://arxiv.org/abs/1708.05335; THINGS; LITTLE_THINGS; WALLABY; HALOGAS; https://www.phangs.org/home/data,record residual-blind caveats and unresolved data gaps,audit notes; cannot override missing required evidence,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_ACQUIRED_RESIDUAL_BLIND,False,False,False,p0_missing_data_source_plan_not_label_not_endpoint
