git_status,path,recommended_group,recommended_action,reason
M,reports/p0_skyview_previews/NGC0100_WISE_3_4.png,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
M,reports/p0_skyview_previews/NGC0247_2MASS_K.png,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
M,reports/p0_skyview_previews/NGC0247_DSS2_Red.png,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
M,reports/p0_skyview_previews/NGC0247_WISE_3_4.png,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
M,reports/p0_skyview_previews/NGC0300_2MASS_K.png,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
M,reports/p0_skyview_previews/NGC0300_DSS2_Red.png,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
M,reports/p0_skyview_previews/NGC0300_WISE_3_4.png,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
M,reports/p0_skyview_previews/NGC6503_2MASS_K.png,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
M,reports/p0_skyview_previews/NGC6503_DSS2_Red.png,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
M,reports/p0_skyview_previews/NGC6503_WISE_3_4.png,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
M,scripts/acquire_external_morphology_inputs.py,stage_code_tests,stage,reproducible pipeline code and tests
M,scripts/acquire_p0_dustpedia_hi_phangs_sources.py,stage_code_tests,stage,reproducible pipeline code and tests
M,scripts/acquire_p0_skyview_preview_images.py,stage_code_tests,stage,reproducible pipeline code and tests
M,scripts/audit_p0_skyview_availability.py,stage_code_tests,stage,reproducible pipeline code and tests
M,scripts/reproduce.py,stage_code_tests,stage,reproducible pipeline code and tests
M,scripts/run_source_native_readout_formula_endpoint.py,stage_code_tests,stage,reproducible pipeline code and tests
M,tests/test_public_reproducibility_package.py,stage_code_tests,stage,reproducible pipeline code and tests
??,data/derived/four_case_endpoint_status_cases.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/four_case_endpoint_status_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/inclusion_lane_endpoint_allowed_use_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/inclusion_lane_endpoint_scores.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/inclusion_lane_endpoint_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/inclusion_lane_expansion_audit.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/inclusion_lane_expansion_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/inclusion_lane_information_gain_transitions.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/memory_projection_acceptance_gate.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/memory_projection_acceptance_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/mixed_readout_candidate_acquisition_queue.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/mixed_readout_candidate_acquisition_requirements.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/mixed_readout_candidate_acquisition_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/mixed_readout_population_control_by_galaxy.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/mixed_readout_population_control_matrix.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/mixed_readout_population_control_points.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/mixed_readout_population_control_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/mixed_readout_population_endpoint_points.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/mixed_readout_population_endpoint_scores.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/mixed_readout_population_endpoint_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/mixed_readout_population_expansion_candidates.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/mixed_readout_population_expansion_obligations.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/mixed_readout_population_expansion_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/mixed_readout_population_shuffled_label_permutations.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/mixed_readout_population_validation_cases.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/mixed_readout_population_validation_endpoints.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/mixed_readout_population_validation_protocol.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/mixed_readout_population_validation_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/mixed_readout_source_selection_cases.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/mixed_readout_source_selection_protocol.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/mixed_readout_source_selection_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/morphology_information_gain_data_acquisition.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/morphology_information_gain_dustpedia_matches.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/morphology_information_gain_l2_weight_freeze_component_audit.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/morphology_information_gain_l2_weight_freeze_readiness.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/morphology_information_gain_l2_weight_freeze_readiness_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/morphology_information_gain_l2_weight_intake_candidates.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/morphology_information_gain_l2_weight_intake_endpoint_by_family.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/morphology_information_gain_l2_weight_intake_endpoint_scores.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/morphology_information_gain_l2_weight_intake_endpoint_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/morphology_information_gain_l2_weight_intake_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/morphology_information_gain_level_manifest.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/morphology_information_gain_scores_by_galaxy.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/morphology_information_gain_source_expansion.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/morphology_information_gain_source_expansion_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/morphology_information_gain_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/morphology_information_gain_transitions.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/multigalaxy_fit_inspection_amplitudes.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/multigalaxy_fit_inspection_points.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/multigalaxy_fit_inspection_scores.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/multigalaxy_fit_inspection_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_compact_overlay_source_acquisition.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_compact_overlay_source_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_expdisk_wvo_diagnostic_points.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_expdisk_wvo_diagnostic_scores.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_expdisk_wvo_formula_freeze_gate.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_expdisk_wvo_formula_freeze_manifest.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_expdisk_wvo_formula_freeze_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_expdisk_wvo_frozen_protocol_points.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_expdisk_wvo_frozen_protocol_scores.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_expdisk_wvo_hypothesis_gate.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_expdisk_wvo_hypothesis_source_fields.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_expdisk_wvo_hypothesis_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_expdisk_wvo_mixed_accepted_endpoint_blocker_gate.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_expdisk_wvo_mixed_accepted_endpoint_blocker_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_mixed_source_rule_evidence.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_mixed_source_rule_gate.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_mixed_source_rule_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_warp_overlay_preflight_fields.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_warp_overlay_preflight_gate.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_warp_overlay_preflight_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_warp_vertical_overlay_control_candidates.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_warp_vertical_overlay_control_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_warp_vertical_overlay_endpoint_freeze_gate.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_warp_vertical_overlay_endpoint_freeze_kernel_grid.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_warp_vertical_overlay_endpoint_freeze_manifest.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_warp_vertical_overlay_endpoint_freeze_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_warp_vertical_overlay_endpoint_points.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_warp_vertical_overlay_endpoint_scores.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_warp_vertical_overlay_formula_blockers.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_warp_vertical_overlay_formula_derivation_steps.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_warp_vertical_overlay_formula_manifest.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_warp_vertical_overlay_formula_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_warp_vertical_overlay_radial_zone_points.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_warp_vertical_overlay_radial_zone_scores.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_warp_vertical_overlay_radial_zone_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_warp_vertical_overlay_replacement_label_gate.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_warp_vertical_overlay_replacement_label_source_fields.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4013_warp_vertical_overlay_replacement_label_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_b1_frozen_image_repeat_obligations.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_b1_frozen_image_repeat_panel_geometry.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_b1_frozen_image_repeat_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_b1_original_hi_data_acquisition_attempts.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_b1_original_hi_data_acquisition_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_b1_original_hi_data_source_candidates.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_b1_source_native_radial_calibration_formulas.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_b1_source_native_radial_calibration_routes.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_b1_source_native_radial_calibration_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_b1_whisp_overview_extraction_obligations.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_b1_whisp_overview_extraction_packet.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_b1_whisp_overview_extraction_panels.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_b1_whisp_overview_extraction_response_template.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_b1_whisp_overview_extraction_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_b1_whisp_overview_frozen_extraction_components.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_b1_whisp_overview_frozen_extraction_obligations.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_b1_whisp_overview_frozen_extraction_response.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_b1_whisp_overview_frozen_extraction_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_b1_whisp_promotion_review_gates.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_b1_whisp_promotion_review_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_b2_physical_normalization_components.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_b2_physical_normalization_formula_status.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_b2_physical_normalization_obligations.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_b2_physical_normalization_synthesis_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_b3_scale_uniqueness_candidate_resolution.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_b3_scale_uniqueness_obligations.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_b3_scale_uniqueness_synthesis_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_breakthrough_promotion_gate.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_breakthrough_promotion_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_formula_freeze_readiness_dashboard.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_formula_freeze_readiness_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_independent_xw_digitization_review_obligations.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_independent_xw_digitization_review_packet.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_independent_xw_digitization_review_protocol_digest.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_independent_xw_digitization_review_response_template.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_independent_xw_digitization_review_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_mixed_formula_freeze_blocker_resolution_plan.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_mixed_formula_freeze_blocker_resolution_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_mixed_formula_freeze_protocol_supports.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_source_review_gate_decisions.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_source_review_literature_fields.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_source_review_packet_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_warp_history_accepted_endpoint_gate.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_warp_history_accepted_endpoint_gate_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_warp_history_accepted_endpoint_manifest.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_warp_history_accepted_endpoint_points.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_warp_history_accepted_endpoint_scores.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_warp_history_accepted_endpoint_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_warp_history_formula_freeze_gate.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_warp_history_formula_freeze_kernel_grid.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_warp_history_formula_freeze_manifest.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc4088_warp_history_formula_freeze_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc5907_accepted_endpoint_control_candidates.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc5907_accepted_endpoint_control_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc5907_expdisk_projection_mixed_accepted_endpoint_gate.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc5907_expdisk_projection_mixed_accepted_endpoint_gate_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc5907_expdisk_projection_mixed_accepted_endpoint_manifest.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc5907_expdisk_projection_mixed_accepted_endpoint_points.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc5907_expdisk_projection_mixed_accepted_endpoint_scores.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc5907_expdisk_projection_mixed_accepted_endpoint_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc5907_expdisk_projection_mixed_formula_freeze_gate.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc5907_expdisk_projection_mixed_formula_freeze_manifest.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc5907_expdisk_projection_mixed_formula_freeze_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc5907_projection_accepted_endpoint_gate.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc5907_projection_accepted_endpoint_manifest.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc5907_projection_accepted_endpoint_points.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc5907_projection_accepted_endpoint_scores.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc5907_projection_accepted_endpoint_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc5907_projection_endpoint_points.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc5907_projection_endpoint_scores.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc5907_projection_freeze_fields.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc5907_projection_freeze_gate.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc5907_projection_freeze_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc5907_projection_radial_zone_points.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc5907_projection_radial_zone_scores.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc5907_projection_radial_zone_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc7331_expdisk_vertical_outer_warp_mixed_accepted_endpoint_gate.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc7331_expdisk_vertical_outer_warp_mixed_accepted_endpoint_gate_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc7331_expdisk_vertical_outer_warp_mixed_accepted_endpoint_manifest.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc7331_expdisk_vertical_outer_warp_mixed_accepted_endpoint_points.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc7331_expdisk_vertical_outer_warp_mixed_accepted_endpoint_scores.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc7331_expdisk_vertical_outer_warp_mixed_accepted_endpoint_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc7331_expdisk_vertical_outer_warp_mixed_formula_freeze_gate.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc7331_expdisk_vertical_outer_warp_mixed_formula_freeze_manifest.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc7331_expdisk_vertical_outer_warp_mixed_formula_freeze_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc7331_fractional_onset_v2_replay_freeze_gate.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc7331_fractional_onset_v2_replay_freeze_manifest.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc7331_fractional_onset_v2_replay_freeze_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc7331_fractional_warp_onset_source_fields.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc7331_fractional_warp_onset_source_gate.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
??,data/derived/ngc7331_fractional_warp_onset_source_summary.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
