galaxy,split,formula_family,inclusion_lane,allowed_use,projection_status,projection_reason,repair_status,repair_reason,has_s4g_scale_source,has_hi_source,has_velocity_field_source,manifest_confidence,manifest_caveat,inclination_deg,distance_frac_error,endpoint_scores_computed,uses_vobs_or_residual,claim_boundary
UGCA444,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,"manifest confidence, inclination, and distance/projection caveats pass",NO_PROJECTION_SCALE_REPAIR_REQUIRED,projection/scale gate is already clean,False,True,False,1.0,none,78.0,0.051020408163,False,False,projection_scale_repair_audit_not_endpoint
UGC00891,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error,REPAIRABLE_WITH_EXISTING_SCALE_SOURCE_PLUS_DISTANCE_AUDIT,S4G/SPARC scale source exists; distance/scale uncertainty still needs review,True,True,False,0.65,few_rotation_points;large_distance_error,60.0,0.303921568627,False,False,projection_scale_repair_audit_not_endpoint
UGC04499,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error,REPAIRABLE_WITH_EXISTING_SCALE_SOURCE_PLUS_DISTANCE_AUDIT,S4G/SPARC scale source exists; distance/scale uncertainty still needs review,True,True,False,0.85,large_distance_error,50.0,0.3,False,False,projection_scale_repair_audit_not_endpoint
UGC03580,holdout,K_compact_finite,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error,NEEDS_DISTANCE_SCALE_SOURCE,distance/scale quality is blocking and no S4G scale source is ready,False,True,False,0.85,large_distance_error,63.0,0.251207729469,False,False,projection_scale_repair_audit_not_endpoint
F561-1,holdout,K_scale_tail_spiral,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,low_inclination,NEEDS_INCLINATION_PROJECTION_REVIEW,requires residual-blind inclination/projection audit,False,True,False,0.6000000000000001,few_rotation_points;low_inclination,24.0,0.150602409639,False,False,projection_scale_repair_audit_not_endpoint
NGC4214,holdout,K_scale_tail_spiral,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,low_inclination,NEEDS_INCLINATION_PROJECTION_REVIEW,requires residual-blind inclination/projection audit,True,True,False,0.8,low_inclination,15.0,0.048780487805,False,False,projection_scale_repair_audit_not_endpoint
NGC6946,holdout,K_compact_finite,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error;low_inclination,NEEDS_INCLINATION_PROJECTION_REVIEW,requires residual-blind inclination/projection audit,False,True,False,0.65,low_inclination;large_distance_error,38.0,0.300724637681,False,False,projection_scale_repair_audit_not_endpoint
UGC02023,holdout,K_scale_tail_spiral,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error;low_inclination;low_manifest_confidence,NEEDS_INCLINATION_PROJECTION_REVIEW,requires residual-blind inclination/projection audit,False,True,False,0.45,few_rotation_points;low_inclination;large_distance_error,19.0,0.298076923077,False,False,projection_scale_repair_audit_not_endpoint
UGC07261,holdout,K_exponential_disk,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error;low_inclination;low_manifest_confidence,NEEDS_INCLINATION_PROJECTION_REVIEW,requires residual-blind inclination/projection audit,False,True,False,0.45,few_rotation_points;low_inclination;large_distance_error,30.0,0.3,False,False,projection_scale_repair_audit_not_endpoint
UGC11914,holdout,K_compact_finite,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error;low_inclination,NEEDS_INCLINATION_PROJECTION_REVIEW,requires residual-blind inclination/projection audit,False,True,False,0.65,low_inclination;large_distance_error,31.0,0.301775147929,False,False,projection_scale_repair_audit_not_endpoint
F568-1,holdout,K_thick_flared,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,low_inclination;vertical_geometry_proxy_only,NEEDS_VERTICAL_GEOMETRY_SOURCE,"requires vertical thickness, flare, warp, or velocity-field source evidence",False,True,False,0.7000000000000001,low_inclination;vertical_geometry_proxy_only,26.0,0.106945975744,False,False,projection_scale_repair_audit_not_endpoint
NGC0024,holdout,K_thick_flared,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,vertical_geometry_proxy_only,NEEDS_VERTICAL_GEOMETRY_SOURCE,"requires vertical thickness, flare, warp, or velocity-field source evidence",True,True,False,0.9,vertical_geometry_proxy_only,64.0,0.049315068493,False,False,projection_scale_repair_audit_not_endpoint
NGC3726,holdout,K_thick_flared,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,vertical_geometry_proxy_only,NEEDS_VERTICAL_GEOMETRY_SOURCE,"requires vertical thickness, flare, warp, or velocity-field source evidence",True,True,False,0.9,vertical_geometry_proxy_only,53.0,0.138888888889,False,False,projection_scale_repair_audit_not_endpoint
NGC3949,holdout,K_thick_flared,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,vertical_geometry_proxy_only,NEEDS_VERTICAL_GEOMETRY_SOURCE,"requires vertical thickness, flare, warp, or velocity-field source evidence",True,True,False,0.7000000000000001,few_rotation_points;vertical_geometry_proxy_only,55.0,0.138888888889,False,False,projection_scale_repair_audit_not_endpoint
NGC4088,holdout,K_thick_flared,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,vertical_geometry_proxy_only,NEEDS_VERTICAL_GEOMETRY_SOURCE,"requires vertical thickness, flare, warp, or velocity-field source evidence",True,True,False,0.9,vertical_geometry_proxy_only,69.0,0.138888888889,False,False,projection_scale_repair_audit_not_endpoint
NGC4389,holdout,K_thick_flared,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,vertical_geometry_proxy_only,NEEDS_VERTICAL_GEOMETRY_SOURCE,"requires vertical thickness, flare, warp, or velocity-field source evidence",True,True,False,0.7000000000000001,few_rotation_points;vertical_geometry_proxy_only,50.0,0.138888888889,False,False,projection_scale_repair_audit_not_endpoint
UGC06917,holdout,K_scale_tail_spiral,CAUTION_READY_PROXY_SUPPORTED,support_lane_memory_history_proxy,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,"manifest confidence, inclination, and distance/projection caveats pass",NO_PROJECTION_SCALE_REPAIR_REQUIRED,projection/scale gate is already clean,True,True,False,1.0,none,56.0,0.138888888889,False,False,projection_scale_repair_audit_not_endpoint
UGC07577,holdout,K_scale_tail_spiral,CAUTION_READY_PROXY_SUPPORTED,support_lane_memory_history_proxy,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,"manifest confidence, inclination, and distance/projection caveats pass",NO_PROJECTION_SCALE_REPAIR_REQUIRED,projection/scale gate is already clean,True,True,False,1.0,none,63.0,0.050193050193,False,False,projection_scale_repair_audit_not_endpoint
NGC5985,holdout,K_compact_finite,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error,REPAIRABLE_WITH_EXISTING_SCALE_SOURCE_PLUS_DISTANCE_AUDIT,S4G/SPARC scale source exists; distance/scale uncertainty still needs review,True,True,False,0.85,large_distance_error,60.0,0.249370277078,False,False,projection_scale_repair_audit_not_endpoint
D512-2,train,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error,NEEDS_DISTANCE_SCALE_SOURCE,distance/scale quality is blocking and no S4G scale source is ready,False,False,False,0.65,few_rotation_points;large_distance_error,56.0,0.3,False,False,projection_scale_repair_audit_not_endpoint
DDO161,train,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error,NEEDS_DISTANCE_SCALE_SOURCE,distance/scale quality is blocking and no S4G scale source is ready,False,True,False,0.85,large_distance_error,70.0,0.3,False,False,projection_scale_repair_audit_not_endpoint
DDO170,train,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error,NEEDS_DISTANCE_SCALE_SOURCE,distance/scale quality is blocking and no S4G scale source is ready,False,True,False,0.85,large_distance_error,66.0,0.3,False,False,projection_scale_repair_audit_not_endpoint
F565-V2,train,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error,NEEDS_DISTANCE_SCALE_SOURCE,distance/scale quality is blocking and no S4G scale source is ready,False,True,False,0.65,few_rotation_points;large_distance_error,60.0,0.200772200772,False,False,projection_scale_repair_audit_not_endpoint
KK98-251,train,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error,NEEDS_DISTANCE_SCALE_SOURCE,distance/scale quality is blocking and no S4G scale source is ready,False,True,False,0.85,large_distance_error,59.0,0.3,False,False,projection_scale_repair_audit_not_endpoint
NGC1003,train,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error,NEEDS_DISTANCE_SCALE_SOURCE,distance/scale quality is blocking and no S4G scale source is ready,False,True,False,0.85,large_distance_error,67.0,0.3,False,False,projection_scale_repair_audit_not_endpoint
UGC04278,train,K_exponential_disk,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error,NEEDS_DISTANCE_SCALE_SOURCE,distance/scale quality is blocking and no S4G scale source is ready,False,True,False,0.85,large_distance_error,90.0,0.299684542587,False,False,projection_scale_repair_audit_not_endpoint
UGC05721,train,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error,NEEDS_DISTANCE_SCALE_SOURCE,distance/scale quality is blocking and no S4G scale source is ready,False,True,False,0.85,large_distance_error,61.0,0.299352750809,False,False,projection_scale_repair_audit_not_endpoint
UGC07399,train,K_exponential_disk,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error,NEEDS_DISTANCE_SCALE_SOURCE,distance/scale quality is blocking and no S4G scale source is ready,False,True,False,0.85,large_distance_error,55.0,0.300118623962,False,False,projection_scale_repair_audit_not_endpoint
UGC08550,train,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error,NEEDS_DISTANCE_SCALE_SOURCE,distance/scale quality is blocking and no S4G scale source is ready,False,True,False,0.85,large_distance_error,90.0,0.298507462687,False,False,projection_scale_repair_audit_not_endpoint
UGC11820,train,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error,NEEDS_DISTANCE_SCALE_SOURCE,distance/scale quality is blocking and no S4G scale source is ready,False,True,False,0.85,large_distance_error,45.0,0.3,False,False,projection_scale_repair_audit_not_endpoint
UGC12632,train,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error,NEEDS_DISTANCE_SCALE_SOURCE,distance/scale quality is blocking and no S4G scale source is ready,False,True,False,0.85,large_distance_error,46.0,0.299897645855,False,False,projection_scale_repair_audit_not_endpoint
ESO444-G084,train,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,low_inclination,NEEDS_INCLINATION_PROJECTION_REVIEW,requires residual-blind inclination/projection audit,False,True,False,0.6000000000000001,few_rotation_points;low_inclination,32.0,0.099378881988,False,False,projection_scale_repair_audit_not_endpoint
F563-V2,train,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,low_inclination,NEEDS_INCLINATION_PROJECTION_REVIEW,requires residual-blind inclination/projection audit,False,True,False,0.8,low_inclination,29.0,0.19932998325,False,False,projection_scale_repair_audit_not_endpoint
F571-V1,train,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,low_inclination,NEEDS_INCLINATION_PROJECTION_REVIEW,requires residual-blind inclination/projection audit,False,True,False,0.6000000000000001,few_rotation_points;low_inclination,30.0,0.099875156055,False,False,projection_scale_repair_audit_not_endpoint
UGC00634,train,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error;low_inclination;low_manifest_confidence,NEEDS_INCLINATION_PROJECTION_REVIEW,requires residual-blind inclination/projection audit,True,True,False,0.45,few_rotation_points;low_inclination;large_distance_error,37.0,0.249190938511,False,False,projection_scale_repair_audit_not_endpoint
UGC01230,train,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,low_inclination,NEEDS_INCLINATION_PROJECTION_REVIEW,requires residual-blind inclination/projection audit,False,True,False,0.8,low_inclination,22.0,0.199255121043,False,False,projection_scale_repair_audit_not_endpoint
UGC05999,train,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,low_inclination,NEEDS_INCLINATION_PROJECTION_REVIEW,requires residual-blind inclination/projection audit,False,True,False,0.6000000000000001,few_rotation_points;low_inclination,22.0,0.199161425577,False,False,projection_scale_repair_audit_not_endpoint
UGC06930,train,K_exponential_disk,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,low_inclination,NEEDS_INCLINATION_PROJECTION_REVIEW,requires residual-blind inclination/projection audit,True,True,False,0.8,low_inclination,32.0,0.138888888889,False,False,projection_scale_repair_audit_not_endpoint
UGC07608,train,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error;low_inclination,NEEDS_INCLINATION_PROJECTION_REVIEW,requires residual-blind inclination/projection audit,True,True,False,0.65,low_inclination;large_distance_error,25.0,0.299634591961,False,False,projection_scale_repair_audit_not_endpoint
UGC09992,train,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error;low_inclination;low_manifest_confidence,NEEDS_INCLINATION_PROJECTION_REVIEW,requires residual-blind inclination/projection audit,True,True,False,0.45,few_rotation_points;low_inclination;large_distance_error,30.0,0.3,False,False,projection_scale_repair_audit_not_endpoint
UGC10310,train,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error;low_inclination;low_manifest_confidence,NEEDS_INCLINATION_PROJECTION_REVIEW,requires residual-blind inclination/projection audit,True,True,False,0.45,few_rotation_points;low_inclination;large_distance_error,34.0,0.302631578947,False,False,projection_scale_repair_audit_not_endpoint
UGC12732,train,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error;low_inclination,NEEDS_INCLINATION_PROJECTION_REVIEW,requires residual-blind inclination/projection audit,True,True,False,0.65,low_inclination;large_distance_error,39.0,0.30303030303,False,False,projection_scale_repair_audit_not_endpoint
ESO079-G014,train,K_thick_flared,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error;vertical_geometry_proxy_only,NEEDS_VERTICAL_GEOMETRY_SOURCE,"requires vertical thickness, flare, warp, or velocity-field source evidence",False,True,False,0.75,large_distance_error;vertical_geometry_proxy_only,79.0,0.249825783972,False,False,projection_scale_repair_audit_not_endpoint
ESO563-G021,train,K_thick_flared,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,vertical_geometry_proxy_only,NEEDS_VERTICAL_GEOMETRY_SOURCE,"requires vertical thickness, flare, warp, or velocity-field source evidence",False,True,False,0.9,vertical_geometry_proxy_only,83.0,0.149671052632,False,False,projection_scale_repair_audit_not_endpoint
